Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0,-41.5,0.0,top
C11,151.9215,-73.3737,0.0,top
C12,151.9215,-68.3737,0.0,top
C13,172.46,-50.5,0.0,top
C14,168.0,-50.5,180.0,top
C15,165.0975,-44.4737,0.0,top
C16,165.0975,-46.9737,0.0,top
C19,151.7845,-70.8737,0.0,top
C2,151.19,-76.3737,0.0,top
C27,163.6675,-56.766,0.0,top
C28,164.0,-67.5,90.0,top
C3,150.69,-43.5,0.0,top
C4,152.5,-78.8737,0.0,top
C5,151.0,-46.8737,0.0,top
C6,144.7845,-76.8737,0.0,top
C7,152.7845,-54.3737,180.0,top
C8,152.8575,-57.95,0.0,top
D1,157.572,-74.8737,0.0,top
D2,161.572,-74.8737,0.0,top
D8,178.5,-69.0,270.0,top
D9,168.0,-61.5,180.0,top
J1,152.0,-38.2125,180.0,top
J2,135.73,-60.5837,0.0,top
J3,177.5,-37.0,180.0,top
L4,163.7845,-52.8737,90.0,top
L5,158.772,-54.8737,0.0,top
L6,172.5,-82.5,180.0,top
Q1,168.5,-78.0,180.0,top
Q2,161.2845,-81.3737,270.0,top
R1,171.665,-55.0,0.0,top
R10,143.5645,-65.3737,180.0,top
R11,147.7845,-65.3737,0.0,top
R12,143.4215,-74.3737,0.0,top
R13,150.7845,-82.3737,90.0,top
R14,159.6695,-50.9737,0.0,top
R15,167.573,-70.0763,0.0,top
R16,173.0,-71.0,0.0,top
R17,154.7345,-50.9737,0.0,top
R2,157.2845,-81.2337,0.0,top
R20,168.073,-67.5763,0.0,top
R21,157.0,-63.0,0.0,top
R22,164.72,-64.5,0.0,top
R23,159.0,-65.5,0.0,top
R24,161.0,-77.8737,90.0,top
R25,157.7845,-78.0937,90.0,top
R26,150.7845,-85.7337,0.0,top
R27,150.0645,-50.2337,0.0,top
R4,144.7845,-50.7337,0.0,top
R5,166.0,-84.0,0.0,top
R6,164.0,-79.0,0.0,top
SW2,161.2845,-38.7337,180.0,top
U1,144.5845,-43.7337,90.0,top
U2,145.4945,-82.5737,90.0,top
U3,159.7845,-70.3737,0.0,top
U4,145.5,-58.0,0.0,top
U5,173.0,-66.5,180.0,top
U6,158.0,-59.0,0.0,top
U7,145.7545,-70.2787,0.0,top
U8,158.7345,-45.9737,270.0,top
